2011,,,,,,,,,,,,"Detyrimet / 
Debts or Outstanding",,Hyra vjetore / Annual Salary,,,
,,Paluajtshme / Real Estate,,Luajtshme / Movable,,Akcione / Shares,,Letra me vlerë / Bonds,,Para të gatshme në inst.fin.,,,,Paga / Regular,,Honorar / Honorariums,
,,"të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint"
Albin Kurti,VV,,,,,,,,,,,,,17856,1384,,
Albana Fetoshi,VV,,130000,,,,,,,,,,,17856,,,
Albulena Haxhiu ,VV,,190000,,5000,,,,,,,10000,,17856,,,
Afrim Hoti,VV,80000,200000,8000,,,,,,,,,,17856,,,
Albana Gashi,VV,,325000,,,,,,,,,,,17856,,,
Emin Gerbeshi,VV,,,,,,,,,,,,,,,,
Florin Krasniqi,VV,5270000,,49000,,3200000,,,,12000,,900000,,875136,,,
Glauk Konjufca,VV,,181000,,,,,,,,,,,24000,,,
Lumnije Morina,VV,,150000,,,,,,,,,,,35853,14184,,
Rexhep Selimi ,VV,156000,,17000,5300,,,,,,20000,,5000,30606,,,
Visar Ymeri,VV,110000,60000,,,,,,,,,365,,17856,6000,,
Afrim Kasolli,VV,,130000,,,,,,,,,,,17856,,,
Liburn Aliu,VV,,,,,,,,,,,,,17856,10680,,
Alma Lama,VV,,45000,,35000,,,,,5000,6000,,,17856,16920,,
Anton Quni,LDK,,412000,8000,,,,,,1700,,,,12751,,,
Afërdita Berisha-Shaqiri,LDK,,,,,,,,,3200,,,,25856,,,
Ali Sadriu,LDK,614000,,29000,,,,,,3000,,,,18000,6600,,
Arben Gashi,LDK,,150000,15500,,22000,,,,1750,13000,1244,,24800,7800,,
